STATE_FIP,COUNTY_FIP,NAME,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
41,001,Baker,6.9,8.3,9.6,10.6,10.9,10.3,10.4,7.1,5.8,6.3
41,003,Benton,4.3,5.1,5.7,6.0,6.4,7.1,8.0,4.7,4.1,4.7
41,005,Clackamas,5.2,6.2,7.1,8.0,8.9,10.1,10.4,5.7,4.6,4.8
41,007,Clatsop,5.6,6.6,7.8,8.7,9.4,10.0,9.1,5.3,4.7,5.0
41,009,Columbia,7.2,8.4,9.7,10.7,11.3,12.9,13.3,7.1,5.7,5.7
41,011,Coos,7.6,9.0,10.3,11.1,11.6,12.7,13.0,8.3,6.6,6.7
41,013,Crook,8.5,9.8,12.1,13.6,14.3,15.9,18.2,9.9,6.2,5.9
41,015,Curry,8.5,10.2,10.6,11.8,12.0,12.6,13.2,8.1,6.5,6.8
41,017,Deschutes,6.0,7.8,9.5,11.3,12.3,13.8,14.9,8.2,5.0,4.6
41,019,Douglas,7.7,9.2,10.6,12.0,12.7,14.0,15.7,9.9,7.7,7.4
41,021,Gilliam,6.5,8.1,9.5,10.1,9.7,9.0,6.9,4.3,4.5,4.8
41,023,Grant,8.9,10.5,12.4,14.0,13.8,13.7,13.7,10.6,8.0,8.3
41,025,Harney,7.3,9.6,11.6,11.8,13.3,14.2,16.3,9.5,7.3,8.0
41,027,Hood River,4.7,5.5,6.3,7.2,7.9,8.3,8.2,5.4,4.5,5.4
41,029,Jackson,6.9,8.4,9.8,11.1,11.7,12.5,12.8,7.9,5.6,5.7
41,031,Jefferson,7.4,8.9,10.5,11.8,12.7,13.7,15.0,10.1,6.7,5.6
41,033,Josephine,7.9,9.4,11.1,12.2,12.6,14.0,14.5,9.2,7.0,6.6
41,035,Klamath,8.0,9.4,10.8,11.7,12.0,12.9,14.1,9.2,6.9,6.6
41,037,Lake,7.8,9.6,11.4,12.9,13.1,13.5,12.6,8.6,7.3,7.5
41,039,Lane,5.9,6.9,8.0,8.9,9.7,11.0,12.3,6.7,5.2,5.4
41,041,Lincoln,6.8,7.8,8.8,9.9,10.4,11.0,10.6,6.6,5.5,6.0
41,043,Linn,6.9,8.1,9.7,10.7,11.4,12.8,14.0,7.8,6.3,6.5
41,045,Malheur,6.5,8.0,8.5,9.4,9.4,9.7,10.9,7.5,5.6,6.3
41,047,Marion,6.1,7.4,8.9,10.0,10.5,11.2,11.1,6.6,5.4,5.6
41,049,Morrow,5.8,6.9,7.7,8.1,8.2,9.3,9.4,6.4,5.4,6.5
41,051,Multnomah,5.0,5.9,6.8,7.6,8.3,9.6,10.6,5.9,4.9,5.1
41,053,Polk,5.7,6.8,8.1,8.9,9.3,9.7,9.5,5.6,4.9,4.9
41,055,Sherman,6.3,7.5,9.3,10.8,11.1,11.7,9.1,5.9,4.8,5.9
41,057,Tillamook,5.8,6.9,8.3,9.7,9.9,10.5,9.6,5.5,4.9,5.5
41,059,Umatilla,6.5,7.8,8.8,9.1,9.5,10.3,9.8,6.6,5.8,6.7
41,061,Union,6.3,7.3,8.4,9.4,10.0,10.3,11.6,8.1,5.5,5.9
41,063,Wallowa,7.9,10.0,11.1,11.5,12.2,12.9,12.0,7.6,6.1,6.5
41,065,Wasco,5.7,6.6,7.6,8.4,8.8,9.6,9.1,6.1,4.9,5.4
41,067,Washington,4.8,5.6,6.3,7.1,7.7,9.0,9.5,5.3,4.3,4.4
41,069,Wheeler,5.2,6.3,6.3,6.9,8.5,9.5,9.1,6.0,5.6,6.5
41,071,Yamhill,5.3,6.5,7.6,8.5,9.2,10.4,11.6,6.5,5.0,5.1
